Tipo_de_Generación_de_Energia,Total_de_Energia,Porcentaje,Año
Ciclo combinado GWh,557,6,2001
Éolica GWh,0,0,2001
Turbinas a gas GWh,1918,20,2001
Turbinas a vapor GWh,2630,28,2001
Motores diesel GWh,3634,39,2001
Hidráulica GWh,696,7,2001
Solar GWh,0,0,2001
Ciclo combinado GWh,1608,16,2002
Éolica GWh,0,0,2002
Turbinas a gas GWh,1918,20,2002
Turbinas a vapor GWh,2630,28,2002
Motores diesel GWh,3634,39,2002
Hidráulica GWh,696,7,2002
Solar GWh,0,0,2002
Ciclo combinado GWh,1430,14,2003
Éolica GWh,0,0,2003
Turbinas a gas GWh,1186,11,2003
