Tipo de Generación de Energia,Total de Energia,Porcentaje,Año
Ciclo combinado GWh,557.486224,5.90859442468328,2001
Éolica GWh,0,0,2001
Turbinas a gas GWh,1918.395477052,20.33,2001
Turbinas a vapor GWh,2629.55684113381,27.87,2001
Motores diesel GWh,3634,38.52,2001
Hidráulica GWh,695.73645766,7.37,2001
Solar GWh,0,0,2001
Ciclo combinado GWh,1607.71874797999,15.947289595723,2002
Éolica GWh,0,0,2002
Turbinas a gas GWh,1918.395477052,20.3323783298492,2002
Turbinas a vapor GWh,2629.55684113381,27.8697198639854,2002
Motores diesel GWh,3634,38.5154488396811,2002
Hidráulica GWh,695.73645766,7.37385854180097,2002
Solar GWh,0,0,2002
Ciclo combinado GWh,1430.49499866,13.76,2003
Éolica GWh,0,0,2003
Turbinas a gas GWh,1186.0913863,11.41,2003
Turbinas a vapor GWh,2296.8293378629,22.09,2003
Motores diesel GWh,4290,41.26,2003
Hidráulica GWh,1192.810814003,11.4734977135962,2003
Solar GWh,0,0,2003
Ciclo combinado GWh,2426.439919,27.3622297408651,2004
Éolica GWh,0,0,2004
Turbinas a gas GWh,16.8452,0.189958230089117,2004
Turbinas a vapor GWh,1679.22310342063,18.9360915068113,2004
Motores diesel GWh,3145,35.4652146386076,2004
Hidráulica GWh,1600.336035813,18.0465058836269,2004
Solar GWh,0,0,2004
Ciclo combinado GWh,2379.58806,24.2247284641843,2005
Éolica GWh,0,0,2005
Turbinas a gas GWh,16.7386,0.170402619968851,2005
Turbinas a vapor GWh,1994.43847301104,20.3038211778617,2005
Motores diesel GWh,3524,35.8750930645472,2005
Hidráulica GWh,1908.205900568,19.4259546734379,2005
Solar GWh,0,0,2005
Ciclo combinado GWh,2829.973823006,26.4282366592672,2006
Éolica GWh,0,0,2006
Turbinas a gas GWh,110.312392,1.03017278058394,2006
Turbinas a vapor GWh,2307.1139121943,21.5454121786163,2006
Motores diesel GWh,3711,34.6558634024271,2006
Hidráulica GWh,1749.74457232,16.3403149791054,2006
Solar GWh,0,0,2006
Ciclo combinado GWh,2820,25.4329004329004,2007
Éolica GWh,0,0,2007
Turbinas a gas GWh,393,3.54437229437229,2007
Turbinas a vapor GWh,2320,20.9235209235209,2007
Motores diesel GWh,3854,34.7582972582973,2007
Hidráulica GWh,1701,15.3409090909091,2007
Solar GWh,0,0,2007
