"""Tipo de Generacion de Energia"",""Total de Energia"",""Porcentaje"",""Ano"""
"Ciclo combinado GWh,""557"",""6"",""2001"""
"Eolica GWh,""0"",""0"",""2001"""
"Turbinas a gas GWh,""1918"",""20"",""2001"""
"Turbinas a vapor GWh,""2630"",""28"",""2001"""
"Motores diesel GWh,""3634"",""39"",""2001"""
"Hidraulica GWh,""696"",""7"",""2001"""
"Solar GWh,""0"",""0"",""2001"""
"Ciclo combinado GWh,""1608"",""16"",""2002"""
"Eolica GWh,""0"",""0"",""2002"""
"Turbinas a gas GWh,""1918"",""20"",""2002"""
"Turbinas a vapor GWh,""2630"",""28"",""2002"""
"Motores diesel GWh,""3634"",""39"",""2002"""
"Hidraulica GWh,""696"",""7"",""2002"""
"Solar GWh,""0"",""0"",""2002"""
"Ciclo combinado GWh,""1430"",""14"",""2003"""
"Hidraulica GWh,""0"",""0"",""2003"""
"Turbinas a gas GWh,""1186"",""11"",""2003"""
"Turbinas a vapor GWh,""2297"",""22"",""2003"""
"Motores diesel GWh,""4290"",""41"",""2003"""
"Hidraulica GWh,""1193"",""11"",""2003"""
