"C1   C2  C3   C4  C5  C6   C7   C8   C9   C10   C11   C12   C13   C14   C15   C16   C17   C18   C19   C20"
"0    10  12   15  18  23   21   28   19   26    22    20    30    18    14    23    29    32    41    44"
"10   0   10   7   9   13   15   18   25   20    32    22    17    23    28    35    21    40    43    29"
"12   10  0    12  18  22   14   24   26   19    26    30    33    41    45    48    38    29    37    42"
"15   7   12   0   15  18   22   25   30   26    34    42    37    33    31    38    44    40    32    43"
"18   9   18   15  0   20   18   14   22   26    32    28    25    21    28    33    39    31    40    45"
"23   13  22   18  20  0    16   19   23   28    19    32    35    38    41    44    49    23    30    39"
"21   15  14   22  18  16   0    18   22   26    21    30    34    38    19    25    28    32    37    45"
"28   18  24   25  14  19   18   0    23   29    24    33    37    39    42    47    41    37    42    50"
"19   25  26   30  22  23   22   23   0    31    34    39    42    19    24    29    34    39    42    46"
"26   20  19   26  26  28   26   29   31   0     29    27    31    34    39    42    44    48    40    44"
"22   32  26   34  32  19   21   24   34   29    0     29    32    37    40    34    31    42    48    51"
"20   22  30   42  28  32   30   33   39   27    29    0     43    48    50    52    48    40    29    38"
"30   17  33   37  25  35   34   37   42   31    32    43    0     30    34    37    40    45    30    46"
"18   23  41   33  21  38   38   39   19   34    37    48    30    0     42    38    32    43    48    54"
"14   28  45   31  28  41   19   42   24   39    40    50    34    42    0     40    43    47    42    51"
"23   35  48   38  33  44   25   47   29   42    34    52    37    38    40    0     42    48    52    56"
"29   21  38   44  39  49   28   41   34   44    31    48    40    32    43    42    0     49    58    61"
"32   40  29   40  31  23   32   37   39   48    42    40    45    43    47    48    49    0     42    39"
"41   43  37   32  40  30   37   42   42   40    48    29    30    48    42    52    58    42    0     41"
"44   29  42   43  45  39   45   50   46   44    51    38    46    54    51    56    61    39    41    0"
